Date,Metric,App,Category,Platform,Value
8/1/13,DAU,CandyBash,Games,iOS,34740221
8/1/13,DAU,Words With Enemies,Games,iOS,24199990
8/1/13,DAU,Crappy Birds,Games,iOS,529
8/1/13,DAU,Zuber,Services,iOS,2330084
8/1/13,DAU,Carry,Services,iOS,311038
8/1/13,DAU,CandyBash,Games,Android,23160148
8/1/13,DAU,Words With Enemies,Games,Android,17227111
8/1/13,DAU,Crappy Birds,Games,Android,358
8/1/13,DAU,Zuber,Services,Android,1647129
8/1/13,DAU,Carry,Services,Android,198861
8/1/13,D1 Retention,CandyBash,Games,iOS,70.7%
8/1/13,D1 Retention,Words With Enemies,Games,iOS,70.0%
8/1/13,D1 Retention,Crappy Birds,Games,iOS,15.2%
8/1/13,D1 Retention,Zuber,Services,iOS,39.3%
8/1/13,D1 Retention,Carry,Services,iOS,35.4%
8/1/13,D1 Retention,CandyBash,Games,Android,70.7%
8/1/13,D1 Retention,Words With Enemies,Games,Android,71.4%
8/1/13,D1 Retention,Crappy Birds,Games,Android,15.6%
8/1/13,D1 Retention,Zuber,Services,Android,40.4%
8/1/13,D1 Retention,Carry,Services,Android,34.7%
8/2/13,DAU,CandyBash,Games,iOS,34704419
8/2/13,DAU,Words With Enemies,Games,iOS,25459229
8/2/13,DAU,Crappy Birds,Games,iOS,624
8/2/13,DAU,Zuber,Services,iOS,2417716
8/2/13,DAU,Carry,Services,iOS,304730
8/2/13,DAU,CandyBash,Games,Android,23136280
8/2/13,DAU,Words With Enemies,Games,Android,15604044
8/2/13,DAU,Crappy Birds,Games,Android,413
8/2/13,DAU,Zuber,Services,Android,1692401
8/2/13,DAU,Carry,Services,Android,201432
8/2/13,D1 Retention,CandyBash,Games,iOS,70.8%
8/2/13,D1 Retention,Words With Enemies,Games,iOS,69.7%
8/2/13,D1 Retention,Crappy Birds,Games,iOS,15.4%
8/2/13,D1 Retention,Zuber,Services,iOS,39.2%
8/2/13,D1 Retention,Carry,Services,iOS,35.1%
8/2/13,D1 Retention,CandyBash,Games,Android,74.3%
